player,position,club,team,minutes,minutes_90s,goals,assists,goals_per90,assists_per90,xg,xg_assist_per90,xg_per90,cards_yellow,cards_red,tackles_won,interceptions,blocked_passes,blocked_shots,clearances
Georges-Kévin N'Koudou,FW,Beşiktaş,Cameroon,27,0.3,0,0,0.0,0.0,0.0,0.0,0.13,0,0,0,0,0,0,0
Nuno Mendes,DF,Paris S-G,Portugal,41,0.5,0,0,0.0,0.0,0.0,0.04,0.0,0,0,0,2,1,0,0
Rafael Leão,FW,Milan,Portugal,88,1.0,2,0,2.05,0.0,0.4,0.16,0.42,0,0,0,1,0,0,0
Ilias Chair,MF,QPR,Morocco,45,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Mario Pašalić,FW,Atalanta,Croatia,271,3.0,0,0,0.0,0.0,0.3,0.07,0.1,0,0,5,3,4,2,3
Teun Koopmeiners,MF,Atalanta,Netherlands,219,2.4,0,1,0.0,0.41,0.1,0.09,0.04,1,0,5,4,1,1,4
Hong Chul,DF,Daegu,Korea Republic,45,0.5,0,0,0.0,0.0,0.0,0.13,0.0,0,0,0,1,1,1,1
Mohammed Al-Owais,GK,Al-Hilal,Saudi Arabia,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,4
Pierre Højbjerg,MF,Tottenham,Denmark,270,3.0,0,0,0.0,0.0,0.0,0.01,0.01,0,0,2,3,2,1,6
Zakaria Aboukhlal,FW,Toulouse,Morocco,79,0.9,1,0,1.14,0.0,1.0,0.0,1.16,0,0,1,1,2,0,1
Daichi Kamada,FW,Eint Frankfurt,Japan,322,3.6,0,0,0.0,0.0,0.6,0.01,0.18,0,0,3,0,3,0,3
Abdelhamid Sabiri,MF,Sampdoria,Morocco,181,2.0,0,1,0.0,0.5,0.1,0.53,0.08,1,0,1,5,2,1,3
Jules Koundé,DF,Barcelona,France,480,5.3,0,0,0.0,0.0,0.2,0.01,0.04,1,0,8,5,3,4,8
Jurriën Timber,DF,Ajax,Netherlands,390,4.3,0,0,0.0,0.0,0.0,0.0,0.0,1,0,6,10,1,0,13
Kim Jin-su,DF,Jeonbuk,Korea Republic,315,3.5,0,1,0.0,0.29,0.3,0.17,0.09,0,0,5,3,2,0,5
Kim Moonhwan,DF,Jeonbuk,Korea Republic,360,4.0,0,0,0.0,0.0,0.0,0.15,0.0,0,0,4,4,2,1,16
Cody Gakpo,FW,PSV Eindhoven,Netherlands,450,5.0,3,0,0.6,0.0,0.3,0.12,0.06,0,0,2,3,9,1,6
Michel Aebischer,MF,Bologna,Switzerland,16,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Marquinhos,DF,Paris S-G,Brazil,426,4.7,0,0,0.0,0.0,0.2,0.17,0.04,1,0,4,2,5,1,6
Milad Mohammadi,DF,AEK Athens,IR Iran,196,2.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,2,0,6
